,name,type,latitude,longitude
0,Lake Brooks Picnic Area Shelter,Shelter,58.5462823516488,-155.793520584174
1,Campground Lean-to,Shelter,58.560077320021804,-155.777894655557
2,Campground Lean-to,Shelter,58.5601440220671,-155.777509633295
3,Campground Lean-to,Shelter,58.5598738098835,-155.777596755355
4,Brooks Camp Ranger Station (Historic),Ranger Station,58.556654330696,-155.778541936997
5,Silver Salmon Creek Ranger Station,Ranger Station,59.980155726898296,-152.665420926777
6,Chinitna Bay Ranger Station,Ranger Station,59.870514606402295,-153.09051663061
7,Upper Twin Lake Ranger Station (Historic),Ranger Station,60.6476100384021,-153.818523085256
8,Exit Glacier Warming Hut,Shelter,60.188322784338,-149.632280691901
9,Exit Glacier Campground Shelter and Food Storage,Shelter,60.190966494134294,-149.618097891265
10,Exit Glacier Stone Kiosk,Shelter,60.184801612945606,-149.637057640147
11,Harding Icefield Trail Emergency Shelter,Weather Shelter,60.1821601111508,-149.702805148819
12,Bus Stop and Baggage Claim,Shelter,63.731314384634295,-148.915154820648
13,Savage Campground Bus Stop,Shelter,63.7178738565021,-149.25624930840598
14,Savage River Check Station,Ranger Station,63.7390162448674,-149.295468720053
15,Wonder Lake Ranger Station (Historic),Ranger Station,63.490416122955295,-150.871263724732
16,Wonder Lake Campground Bus Shelter,Shelter,63.454383892473096,-150.860954354727
17,Wonder Lake Campground Shelter,Shelter,63.4533957288017,-150.862656524884
18,Wonder Lake Campground Shelter,Shelter,63.4530353845568,-150.86500416447902
19,Talkeetna Ranger Station,Ranger Station,62.32249218340589,-150.11711986932698
20,Teklanika Campground Bus Stop,Shelter,63.6696294407223,-149.577612170756
21,Mountain Vista Shelter,Shelter,63.7152128776941,-149.254765525397
22,Savage River Bus Stop,Shelter,63.7401291166235,-149.29393721501302
23,Teklanika Rest Stop Bus Shelter,Shelter,63.654326928325005,-149.568043509255
24,Teklanika Rest Stop Bus Shelter,Shelter,63.6542281622579,-149.56795559919502
25,Teklanika Rest Stop Bus Shelter,Shelter,63.6541800482252,-149.567679566008
26,Bus Shelter,Shelter,62.020796673417905,-145.364189803934
27,Slana Ranger Station,Ranger Station,62.70962848744679,-143.98183716869
28,Mountain Vista Viewpoint,Shelter,63.71456556225429,-149.254243447043
29,Exit Glacier Pavilion,Shelter,60.1880229111343,-149.63129178322902
30,Amalik Bay Patrol Cabin,Ranger Station,58.1044491614439,-154.529535375356
31,Nonvianuk Patrol Cabin,Ranger Station,59.015609909534795,-155.60394910936898
32,McCarthy Ranger Station,Ranger Station,61.4397109615975,-142.896133573006
33,Nuluk Emergency Shelter Cabin,Weather Shelter,65.8771799996492,-166.77314000030898
34,Ear Mountain Emergency Shelter Cabin,Weather Shelter,65.9592800004323,-166.130479999652
35,Grayling Creek Emergency Shelter Cabin,Weather Shelter,66.0377629787578,-165.135436668567
36,Quartz Creek Emergency Shelter Cabin,Weather Shelter,65.4045670965309,-164.65483221501898
37,Goodhope River Reindeer Emergency Shelter Cabin (Historic),Weather Shelter,66.0213899996331,-163.929089999911
38,Cottonwood Creek Emergency Shelter Cabin,Weather Shelter,65.793696490926,-163.609137005518
39,The Trail Center (Historic),Ranger Station,59.455466748396795,-135.314728075797
40,Sheep Camp North Warming Tent,Weather Shelter,59.658792437547,-135.26785596195
41,Sheep Camp South Warming Tent,Weather Shelter,59.65873760950979,-135.268096526113
42,Sheep Camp Ranger Station,Ranger Station,59.65682799421229,-135.26740092964
43,Pleasant Camp Warming Tent,Weather Shelter,59.6384991267587,-135.29378284656602
44,Dyea Ranger Station,Ranger Station,59.505872244645005,-135.347745361231
45,Aialik Bay Ranger Station,Ranger Station,59.8487382276063,-149.660781867266
46,Dry Bay Ranger Station,Ranger Station,59.171222905266504,-138.483123925573
47,Kobuk Valley Portage Emergency Shelter Cabin,Weather Shelter,67.1878515831889,-159.226936098019
48,Kotlik Emergency Shelter Cabin,Weather Shelter,67.4289700000176,-163.882400000188
49,Nakolik Emergency Shelter Cabin,Weather Shelter,67.9088700000871,-160.83086999881598
50,Swikshak Bay Patrol Cabin,Ranger Station,58.606588681624096,-153.76780149779302
51,Crescent Lake Ranger Station,Ranger Station,60.35954648467651,-152.859248892474
52,Coldfoot Ranger Station,Ranger Station,67.25330013665811,-150.17532690787598
53,Telaquana Lake Ranger Station,Ranger Station,60.982549999978104,-153.919469999845
54,Lower Twin Lake Ranger Station,Ranger Station,60.649649999788195,-154.04254000046498
55,Solo Mountain Emergency Shelter Cabin (Historic),Weather Shelter,61.8330699998665,-141.844650000572
56,Dahl Memorial Medical Clinic,Hospital,59.4607708000007,-135.30609329993
57,Sitka Police Department,Police,57.0526092237681,-135.333605197623
58,Skagway Police Department,Police,59.453366499969796,-135.321309101269
59,Ranger Station,Ranger Station,59.115286365260204,-156.337289002639
60,Alaska Packers Cabin Ranger Station (Historic),Ranger Station,56.7635421393605,-157.491217270679
61,Canyon City Warming Tent,Weather Shelter,59.607452208663794,-135.324645381535
62,Canyon City State Cabin,Weather Shelter,59.6075215157109,-135.324588448497
63,Finnegan's Point Warming Tent,Weather Shelter,59.575532258975706,-135.335098673638
64,Skagway Volunteer Fire Department,Fire Station,59.4564034260333,-135.316730656158
65,Hubert’s Landing Emergency Shelter Cabin (Historic),Weather Shelter,61.02683285606621,-141.634283548638
66,Gustavus Community Clinic,First Aid Station,58.418541698855,-135.745396154416
67,Sitka Fire Department,Fire Station,57.0517122981586,-135.33398117387898
68,Sitka Community Hospital,Hospital,57.0596713235664,-135.346783775577
69,Makpik Emergency Shelter Cabin,Weather Shelter,67.8589999992027,-158.327999998234
70,Happy Camp Warming Shelter,Weather Shelter,59.738190283494205,-135.177221633368
71,Lindeman City Upper Warming Hut,Shelter,59.7838713615323,-135.087950503712
72,Lindeman City Upper Warming Cabin,Weather Shelter,59.7839121625601,-135.087703927545
